Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
200812D100026,460830,452510,-1.074261,53.965099,12,3,1,1,10/01/2008,5,23:58:00,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013369
2.01E+12,469375,449837,-0.94464,53.940005,12,2,1,1,01/01/2012,1,06:24:00,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013351
2.01E+12,460679,451868,-1.07669,53.959348,12,3,2,1,31/12/2012,2,11:40:00,189,E06000014,6,7210,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01013367
2.01E+12,459873,451822,-1.088982,53.959028,12,3,2,1,31/12/2012,2,14:25:00,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01013415
2.01E+12,460424,451430,-1.080663,53.955441,12,3,1,1,04/01/2012,4,21:15:00,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,457415,451382,-1.126521,53.955352,12,2,2,1,06/01/2012,6,07:45:00,189,E06000014,4,1224,1,30,1,4,5,285,0,0,1,1,4,0,0,1,1,E01013441
2.01E+12,459752,451882,-1.090814,53.959581,12,3,2,1,05/01/2012,5,18:10:00,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013415
2.01E+12,455903,451341,-1.149568,53.955149,12,3,2,1,06/01/2012,6,12:20:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.01E+12,460467,452065,-1.079882,53.961143,12,3,1,1,06/01/2012,6,13:15:00,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01013366
2.01E+12,461016,458429,-1.070242,54.01827,12,3,1,2,07/01/2012,7,13:15:00,189,E06000014,6,1810,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013376
2.01E+12,460823,456488,-1.073575,54.000849,12,3,6,4,07/01/2012,7,13:25:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013407
2.01E+12,462184,447000,-1.054745,53.915422,12,3,2,1,08/01/2012,1,06:02:00,189,E06000014,3,19,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013450
2.01E+12,459477,457060,-1.093995,54.006146,12,2,2,1,08/01/2012,1,11:25:00,189,E06000014,4,1363,6,60,8,4,6,0,0,0,1,1,2,0,0,2,1,E01013377
2.01E+12,459687,451725,-1.091835,53.958178,12,3,2,1,13/01/2012,6,07:35:00,189,E06000014,3,1036,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01013415
2.01E+12,457579,451421,-1.124015,53.955684,12,3,2,1,14/12/2012,6,13:30:00,189,E06000014,6,5710,6,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01013441
2.01E+12,459463,451247,-1.095341,53.953908,12,3,2,1,16/01/2012,2,08:35:00,189,E06000014,3,59,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01013417
2.01E+12,455991,447763,-1.148881,53.922984,12,3,2,1,16/01/2012,2,14:10:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
2.01E+12,460515,451831,-1.079197,53.959034,12,3,1,1,16/01/2012,2,14:15:00,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,456015,450694,-1.14798,53.949322,12,2,2,2,17/01/2012,3,09:07:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
2.01E+12,460355,452812,-1.081441,53.967869,12,3,1,1,17/01/2012,3,08:30:00,189,E06000014,4,1363,6,30,9,4,6,3110,0,0,1,1,1,0,0,1,1,E01013366
2.01E+12,462334,452002,-1.051443,53.960355,12,3,2,2,17/01/2012,3,19:00:00,189,E06000014,5,408,6,30,6,4,6,7610,0,0,4,1,2,0,0,1,1,E01013381
2.01E+12,456910,450325,-1.134413,53.945909,12,2,1,1,17/01/2012,3,11:30:00,189,E06000014,6,5610,6,30,3,4,6,0,0,0,1,8,4,0,0,1,1,E01013447
2.01E+12,459975,455264,-1.086751,53.989949,12,3,2,2,19/01/2012,5,18:35:00,189,E06000014,4,1363,6,40,3,2,5,417,0,0,7,1,2,0,0,2,1,E01013431
2.01E+12,461119,451382,-1.070082,53.954928,12,3,2,1,24/01/2012,3,18:14:00,189,E06000014,3,1079,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01013363
2.01E+12,460044,452312,-1.086279,53.963412,12,3,2,1,23/01/2012,2,18:20:00,189,E06000014,3,19,6,30,3,4,6,3110,0,0,4,1,2,0,0,1,2,E01013366
2.01E+12,461151,454977,-1.068875,53.987232,12,3,2,1,26/01/2012,5,18:30:00,189,E06000014,5,90,6,30,3,4,6,3610,0,0,4,2,2,0,0,1,1,E01013404
2.01E+12,459694,456094,-1.090874,53.99744,12,3,2,1,27/01/2012,6,10:13:00,189,E06000014,4,1363,6,60,8,4,6,0,0,0,1,1,1,0,0,2,1,E01013377
2.01E+12,461504,452561,-1.063979,53.965478,12,3,1,1,28/01/2012,7,10:56:00,189,E06000014,5,408,6,30,6,4,6,7510,0,1,1,1,1,0,0,1,1,E01013380
2.01E+12,462069,454006,-1.055074,53.978396,12,3,3,3,25/01/2012,4,17:20:00,189,E06000014,5,414,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01013409
2.01E+12,457148,447703,-1.131277,53.922319,12,3,4,4,28/01/2012,7,17:30:00,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,5,1,1,0,0,2,1,E01013423
